model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.9562377251626545,0.015522977685722089,5.70452356338501,133.55
share-gine2-msgm-ed256-nl4,bn1000,0.05,0.0,20,0.5709742170127318,0.15710519343924376,2.750320041179657,49.05
share-gine2-msgm-ed256-nl4,bn1000,0.1,0.0,20,0.25119844461025687,0.097955955634193,2.547010612487793,44.55
share-gine2-msgm-ed256-nl4,bn1000,0.2,0.0,20,0.06822343799756335,0.02870868323923304,2.786426031589508,45.6
share-gine2-msgm-ed256-nl4,bn1000,0.25,0.0,20,0.037529291934333034,0.015795493413737243,2.147697019577026,26.8
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.9603185952736609,0.015234190247273923,6.141720700263977,125.35
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.05,20,0.6355882492892736,0.12918005094742505,3.3770129561424254,56.9
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.1,20,0.31764498512668393,0.11043283947808324,2.4266175031661987,33.4
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.2,20,0.06075359805308981,0.02086476755811509,2.339280164241791,28.25
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.25,20,0.03319384809569319,0.014193361240584465,2.0223108768463134,28.7
