model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.911540623315901,0.09984451190017646,3.3364179968833922,66.55
share-gine2-msgm-ed256-nl4,bn1000,0.05,0.0,20,0.24233687472335014,0.03698346433620331,2.630634295940399,48.3
share-gine2-msgm-ed256-nl4,bn1000,0.1,0.0,20,0.08149940283190141,0.02675138223988289,2.3593103647232057,37.95
share-gine2-msgm-ed256-nl4,bn1000,0.2,0.0,20,0.016746952884602793,0.009650078536086178,2.028278636932373,29.95
share-gine2-msgm-ed256-nl4,bn1000,0.25,0.0,20,0.011898704312404942,0.005610404444110174,1.66636723279953,20.4
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.0,20,0.9204874230877051,0.049837926857195076,3.536500406265259,71.4
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.05,20,0.37080568304279915,0.0602966217414923,2.6029141783714294,47.3
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.1,20,0.1592939276289656,0.025011093745305094,2.575535845756531,52.75
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.2,20,0.03897488282185402,0.01334536075972416,2.6319190740585325,31.8
share-gine2-msgm-ed256-nl4,bn1000,0.0,0.25,20,0.0203249810986977,0.007238236871162536,2.1060605883598327,20.45
