model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.0,20,0.9187080435445909,0.05742022958684233,4.067827463150024,64.05
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.05,0.0,20,0.2396698642190397,0.04901804079659349,3.1567400693893433,45.25
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.1,0.0,20,0.08511048614658726,0.027860857280019368,2.9534108996391297,41.95
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.2,0.0,20,0.018766053216241495,0.008247132055690885,2.517920637130737,31.65
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.25,0.0,20,0.011887984446855192,0.004464674533674738,2.097083556652069,22.2
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.0,20,0.9357133477350577,0.06906241084451495,3.446142542362213,63.4
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.05,20,0.38278853938467083,0.0829748010846288,2.668184959888458,55.75
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.1,20,0.17271680230895176,0.036964257730549,2.0760631561279297,39.85
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.2,20,0.03855710383112191,0.009760200535926463,1.551735758781433,25.35
share-gine2-msgm-ed256-nl4-beta0.001,bn1000,0.0,0.25,20,0.02135076166795718,0.0125234731948176,1.6631855010986327,29.15
