model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.9601972791316111,16,0.9600159980078083,241.06611514091492
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.05,0.0,100,0.7167551489500102,17,0.6654976589997281,769.139997959137
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.1,0.0,100,0.3174195468304098,84,0.29771198784395886,2262.279802083969
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.2,0.0,100,0,0,0.0758421738228954,462.98268270492554
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.25,0.0,100,0,0,0.04067064810324063,450.62159848213196
degree-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.966315696178913,29,0.9612648398828993,327.6510577201843
