01 23_69_73
3_6_14_48 37
4_5_28_38_46 79_83_85
07 17
11 24
16_25_49 70
32 89
29_36_52_63 76
37 84
47 8_44
70 19
78 87
22_39_58 29
24 18
33 61
35 66
65 35
71 71
77 34
67_79_83_85 33
84 67
87 50
40 36_52_63
53 78
31_55_62 42
61 11
64 82
69_73 74_75
9_45_59 16_49
89 2_12
8_44 21_26_51
10_27 54
20 47
21_26_51_60 64
56 68_86
66_68_86 10
75_88 9_45_59_62
90 65
2_12_19 30
41 27
18 60
42 20
50 40
13_43 22_39_58
82 7_25_32
15_34_57 80
17 31_55
23 90
30 53
54 56
76 77
80 41
74 88
91 91
72_81 28
