model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_degree-gine2-sigma,edi3,10,0.0,0.0,1.0,0.0,0.9822676646298376,0.026703927066606452,1.198294758796692,0.0
shelley_degree-gine2-sigma,edi3,10,0.05,0.0,0.019148936170212766,0.022213418104065,0.18206419398173174,0.09269018419279632,1.1400408744812012,0.0
shelley_degree-gine2-sigma,edi3,10,0.1,0.0,0.02978723404255319,0.023692614309914983,0.09440521784769049,0.10148844109132402,1.1097602844238281,0.0
shelley_degree-gine2-sigma,edi3,10,0.2,0.0,0.010638297872340425,0.010638297872340425,0.089357440019476,0.0599550107277051,1.0498242378234863,0.0
shelley_degree-gine2-sigma,edi3,10,0.25,0.0,0.01276595744680851,0.014113296980235742,0.0861446421272282,0.11357754847335991,1.0600350856781007,0.0
shelley_degree-gine2-sigma,edi3,10,0.0,0.0,1.0,0.0,0.985001064682829,0.02032695423783964,1.1737132787704467,0.0
shelley_degree-gine2-sigma,edi3,10,0.0,0.05,0.021276595744680847,0.026913001363135142,0.19096481509121327,0.1546480263783149,1.142038607597351,0.0
shelley_degree-gine2-sigma,edi3,10,0.0,0.1,0.023404255319148935,0.01767366779344271,0.23275191247591684,0.1412003452714951,1.084865689277649,0.0
shelley_degree-gine2-sigma,edi3,10,0.0,0.2,0.023404255319148935,0.011457797461988306,0.30348120870325584,0.242130278021924,1.027010703086853,0.0
shelley_degree-gine2-sigma,edi3,10,0.0,0.25,0.014893617021276595,0.01661755250192905,0.17536896386922435,0.21455698721349598,1.0274248600006104,0.0
