model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
shelley_share-gine2-sgm,ppi,10,0.0,0.0,0.9888736263736264,0.005620129820186484,1.9972605951137558e-05,2.955470203954569e-05,4.287034606933593,0.0
shelley_share-gine2-sgm,ppi,10,0.05,0.0,0.2842032967032967,0.07917964183092378,7.703832196816188e-06,8.862964520308863e-06,4.418692016601563,0.0
shelley_share-gine2-sgm,ppi,10,0.1,0.0,0.10920329670329672,0.06815180495258283,6.44137296882479e-06,6.3141261685070884e-06,4.467161870002746,0.0
shelley_share-gine2-sgm,ppi,10,0.2,0.0,0.011744505494505494,0.004283093908700238,1.042836374916042e-05,1.075800384481763e-05,4.716834974288941,0.0
shelley_share-gine2-sgm,ppi,10,0.25,0.0,0.005288461538461539,0.0019193940401761153,1.1543781699335235e-05,7.851476754656627e-06,4.754784560203552,0.0
shelley_share-gine2-sgm,ppi,10,0.0,0.0,0.9918956043956044,0.006270720994787544,3.3804710047937e-05,3.3628908682765464e-05,4.318668007850647,0.0
shelley_share-gine2-sgm,ppi,10,0.0,0.05,0.5592032967032967,0.16874842062976605,1.9114738926209548e-05,2.3157196875120497e-05,4.251774001121521,0.0
shelley_share-gine2-sgm,ppi,10,0.0,0.1,0.22664835164835165,0.07974371383468297,1.0922584831694149e-05,1.168794952283835e-05,4.262412858009339,0.0
shelley_share-gine2-sgm,ppi,10,0.0,0.2,0.029326923076923077,0.012882279422258724,5.883699347131434e-06,8.772396889771064e-06,4.101217246055603,0.0
shelley_share-gine2-sgm,ppi,10,0.0,0.25,0.019505494505494506,0.006992014611332095,1.666473916659071e-05,1.3850773872554037e-05,4.002602529525757,0.0
