model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
isorank,edi3,10,0.0,0.0,1.0,0.0,1.2010849755385826e-08,0.0,0.007315969467163086,-1.0
isorank,edi3,10,0.05,0.0,0.12765957446808512,0.06453511016214085,1.9464962955178883e-07,1.5339467219758188e-07,0.0024462461471557615,-1.0
isorank,edi3,10,0.1,0.0,0.10425531914893615,0.055848530844283775,3.836406715985002e-07,3.9548281506808825e-07,0.0020409822463989258,-1.0
isorank,edi3,10,0.2,0.0,0.06170212765957446,0.037400842194142435,4.63471073528816e-07,3.2160518444385403e-07,0.0023460149765014648,-1.0
isorank,edi3,10,0.25,0.0,0.07659574468085108,0.04059315750710407,4.469417035579681e-07,3.370957888663995e-07,0.001959490776062012,-1.0
isorank,edi3,10,0.0,0.0,1.0,0.0,1.2010849755385826e-08,0.0,0.002637362480163574,-1.0
isorank,edi3,10,0.0,0.05,0.12978723404255318,0.04508429808599381,2.2610264091656126e-07,2.3905382206946116e-07,0.0024330854415893556,-1.0
isorank,edi3,10,0.0,0.1,0.08510638297872339,0.03560255432059896,4.656901904221239e-07,2.1907287967796732e-07,0.00265045166015625,-1.0
isorank,edi3,10,0.0,0.2,0.09787234042553192,0.04059315750710407,2.686737169479502e-07,3.5648716552228615e-07,0.003260684013366699,-1.0
isorank,edi3,10,0.0,0.25,0.07659574468085106,0.0394622063638115,6.82277283791838e-07,7.51792019463963e-07,0.0024399518966674804,-1.0
