model,data,size,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
magna_S3-p2500-g2000,ppi,3,0.0,0.0,0.00892857142857143,0.007026561013380407,0.0009437380940653384,0.0,1427.371159474055,-1.0
magna_S3-p2500-g2000,ppi,3,0.05,0.0,0.008241758241758242,0.003925464331383298,0.0009437380940653384,0.0,1450.8643222649891,-1.0
magna_S3-p2500-g2000,ppi,3,0.1,0.0,0.014194139194139194,0.0027662651038449114,0.0009437380940653384,0.0,1483.2797471682231,-1.0
magna_S3-p2500-g2000,ppi,3,0.2,0.0,0.005494505494505495,0.0025698196337733113,0.0009437380940653384,0.0,1522.296920935313,-1.0
magna_S3-p2500-g2000,ppi,3,0.25,0.0,0.012591575091575094,0.005504036300444738,0.0009437380940653384,0.0,1546.8269415696461,-1.0
magna_S3-p2500-g2000,ppi,3,0.0,0.0,0.011904761904761904,0.0019693968102203817,0.0009437380940653384,0.0,1423.3243141969044,-1.0
magna_S3-p2500-g2000,ppi,3,0.0,0.05,0.00045787545787545793,0.0006475336824052633,0.0009437380940653384,0.0,1.684313217798869,-1.0
magna_S3-p2500-g2000,ppi,3,0.0,0.1,0.00022893772893772896,0.00032376684120263166,0.0009437380940653384,0.0,1.6389060020446777,-1.0
magna_S3-p2500-g2000,ppi,3,0.0,0.2,0.00022893772893772896,0.00032376684120263166,0.0009437380940653384,0.0,1.5661555131276448,-1.0
magna_S3-p2500-g2000,ppi,3,0.0,0.25,0.00045787545787545793,0.0003237668412026317,0.0009437380940653384,0.0,1.4519670804341633,-1.0
