model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale,ppi,0,0.0,20,0.9952,0,-1,-1
pale,ppi,0,0.01,20,0.9938,0,-1,-1
pale,ppi,0,0.05,20,0.9972,0,-1,-1
pale,ppi,0,0.1,20,0.9938,0,-1,-1
pale,ppi,0,0.2,20,0.9820,0,-1,-1
