model,data,size,p_add,p_rm,avg_acc,std_acc,training_time
shelleyg_share-gine2-sgm,edi3,100,0.0,0.0,1.0,0.0,20.274755477905273
shelleyg_share-gine2-sgm,edi3,100,0.05,0.0,0.5977011494252874,0.038638474284992216,32.76722002029419
shelleyg_share-gine2-sgm,edi3,100,0.1,0.0,0.4390804597701149,0.04747557799554803,51.97269892692566
shelleyg_share-gine2-sgm,edi3,100,0.2,0.0,0.22298850574712642,0.06021057863774158,21.18803596496582
shelleyg_share-gine2-sgm,edi3,100,0.25,0.0,0.21724137931034487,0.04021346134376069,50.45263171195984
shelleyg_share-gine2-sgm,edi3,100,0.0,0.0,1.0,0.0,48.049126386642456
shelleyg_share-gine2-sgm,edi3,100,0.0,0.05,0.9620689655172412,0.03787875184663007,50.11602210998535
shelleyg_share-gine2-sgm,edi3,100,0.0,0.1,0.8862068965517241,0.05067909812654853,25.75176453590393
shelleyg_share-gine2-sgm,edi3,100,0.0,0.2,0.6942528735632185,0.09762674651763711,32.502405643463135
shelleyg_share-gine2-sgm,edi3,100,0.0,0.25,0.5160919540229886,0.07696859330015265,23.65242886543274
