01 74_75
3_6_14_48 87
4_5_28_38_46 23_69_73
07 7_25_32
11 80
16_25_49 15_57
32 16_49
29_36_52_63 79_83_85
37 42
47 67
70 68_86
78 78
22_39_58 70
24 33
33 50
35 66
65 8_44
71 71
77 65
67_79_83_85 56
84 10
87 11
40 2_12
53 27
31_55_62 19
61 20
64 28
69_73 9_45_59_62
9_45_59 36_52_63
89 37
8_44 61
10_27 18
20 89
21_26_51_60 60
56 77
66_68_86 35
75_88 88
90 40
2_12_19 17
41 31_55
18 41
42 91
50 30
13_43 22_39_58
82 47
15_34_57 29
17 64
23 34
30 21_26_51
54 84
76 53
80 24
74 90
91 54
72_81 82
