model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp0-de_lr0.001,edi3,0.0,0,3,0.9432624113475178,0.02005976684217159,24.260170698165894,-1.0
pale-mlp0-de_lr0.001,edi3,0.05,0,3,0.851063829787234,0.03474453535862664,18.359609921773274,-1.0
pale-mlp0-de_lr0.001,edi3,0.1,0,3,0.7943262411347517,0.055844027475261106,19.432258129119873,-1.0
pale-mlp0-de_lr0.001,edi3,0.2,0,3,0.624113475177305,0.07020918394760046,18.975740909576416,-1.0
pale-mlp0-de_lr0.001,edi3,0.25,0,3,0.5460992907801419,0.053073154422325415,18.066741863886516,-1.0
pale-mlp0-de_lr0.001,edi3,0,0.0,3,0.9432624113475178,0.02005976684217159,12.188474178314209,-1.0
pale-mlp0-de_lr0.001,edi3,0,0.05,3,0.8439716312056738,0.07232651792330193,11.604780117670694,-1.0
pale-mlp0-de_lr0.001,edi3,0,0.1,3,0.6099290780141844,0.05014941710542887,11.55607811609904,-1.0
pale-mlp0-de_lr0.001,edi3,0,0.2,3,0.6382978723404256,0.0,11.374758084615072,-1.0
pale-mlp0-de_lr0.001,edi3,0,0.25,3,0.6312056737588653,0.14774940890779897,11.49548625946045,-1.0
