model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,test_acc,training_time
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0,0,0.04252182167231973,119.1031346321106
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.0,100,0.840075870157677,17,0.8320744305708321,142.0298068523407
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.05,100,0,0,0.007436186345247614,352.9440972805023
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.1,100,0,0,0.011340084133846804,357.7761607170105
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.2,100,0,0,0.03477102008331,356.4915237426758
share-gine2-sgm-beta0.1-tau1.0,bn1000,0.0,0.25,100,0,0,0.0037556923529812355,353.4815421104431
