model,data,p_add,p_rm,dataset_size,best_val_acc,best_epoch,avg_acc,training_time
share-gine2-sgm-beta0.001-tau1.0,edi3,0.00,0.0,100,1.0,204,0.8494252873563218,356.7372827529907
share-gine2-sgm-beta0.001-tau1.0,edi3,0.05,0.0,100,0.8505747126436783,204,0.8494252873563218,356.7372827529907
share-gine2-sgm-beta0.001-tau1.0,edi3,0.1,0.0,100,0.9022988505747127,23,0.6908045977011494,71.54498982429504
share-gine2-sgm-beta0.001-tau1.0,edi3,0.2,0.0,100,0.45287356321839084,11,0.232183908045977,58.32748341560364
share-gine2-sgm-beta0.001-tau1.0,edi3,0.25,0.0,100,0,0,0.06091954022988508,36.93341851234436
share-gine2-sgm-beta0.001-tau1.0,edi3,0.0,0.05,100,0.839080459770115,170,0.7528735632183908,304.81287932395935
share-gine2-sgm-beta0.001-tau1.0,edi3,0.0,0.1,100,0.3954022988505747,212,0.4011494252873564,500.6149504184723
share-gine2-sgm-beta0.001-tau1.0,edi3,0.2,0.0,100,0.45287356321839084,11,0.232183908045977,58.32748341560364
share-gine2-sgm-beta0.001-tau1.0,edi3,0.25,0.0,100,0,0,0.06091954022988508,36.93341851234436
