model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.0,20,0.9581201960691249,0.014073974089072534,2.3586960792541505,85.05
share-gine2-msgm-ed64-nl5,bn1000,0.05,0.0,20,0.31295151902032914,0.06982660215122015,1.4609414696693421,44.05
share-gine2-msgm-ed64-nl5,bn1000,0.1,0.0,20,0.10394291134148277,0.025980453896991655,1.2636034488677979,39.4
share-gine2-msgm-ed64-nl5,bn1000,0.2,0.0,20,0.02192256509479763,0.008646566928583404,0.9486484169960022,19.75
share-gine2-msgm-ed64-nl5,bn1000,0.25,0.0,20,0.013445448192977213,0.0081427481632855,0.9942177653312683,23.05
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.0,20,0.9462337474581684,0.02074429617720129,2.474727523326874,89.2
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.05,20,0.4420565410355783,0.07745991237767384,1.6241366028785706,48.9
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.1,20,0.1761018569298482,0.03819115262202444,1.310177743434906,36.5
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.2,20,0.039707393796811485,0.015665460512677934,1.1948017001152038,33.5
share-gine2-msgm-ed64-nl5,bn1000,0.0,0.25,20,0.022461249447901344,0.013038396730062006,0.9716957926750183,23.55
