model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.0,20,0.4704543540555403,0.39031999842038645,6.536985397338867,165.35
share-gine2-msgm-ed512-nl2,bn1000,0.05,0.0,20,0.3218139452186183,0.21702989862841793,2.5679452061653136,53.7
share-gine2-msgm-ed512-nl2,bn1000,0.1,0.0,20,0.11509760796801467,0.10810858659707699,1.9770453572273254,35.95
share-gine2-msgm-ed512-nl2,bn1000,0.2,0.0,20,0.04004109445930426,0.026952872961369667,1.9301908016204834,34.2
share-gine2-msgm-ed512-nl2,bn1000,0.25,0.0,20,0.03204205452087732,0.019044353604117263,2.1379453539848328,34.5
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.0,20,0.3988807563861293,0.3958493822294212,7.914344024658203,145.2
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.05,20,0.27380859435737964,0.23372078167551646,3.5493454694747926,63.45
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.1,20,0.13032919343810706,0.09334299686149361,2.2039947748184203,43.05
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.2,20,0.02399065452422731,0.021265749651285727,1.6563342452049254,28.45
share-gine2-msgm-ed512-nl2,bn1000,0.0,0.25,20,0.008879955000376472,0.009497774265212837,1.627895212173462,27.85
