model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.0,20,0.4770260046273961,0.3946228256181318,2.0150652289390565,64.65
share-gine2-msgm-ed32-nl2,bn1000,0.05,0.0,20,0.15192323296963595,0.16486038308179002,1.3746577024459838,40.0
share-gine2-msgm-ed32-nl2,bn1000,0.1,0.0,20,0.08572624288773148,0.0630124844485873,1.3784668564796447,42.15
share-gine2-msgm-ed32-nl2,bn1000,0.2,0.0,20,0.02102307920509579,0.015222973825319936,1.0238306283950807,27.8
share-gine2-msgm-ed32-nl2,bn1000,0.25,0.0,20,0.015544729094784954,0.007097701792660201,0.9147931933403015,33.45
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.0,20,0.5877827089009849,0.3637376791059851,1.8781125903129579,73.8
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.05,20,0.17144441731257123,0.17059502374007396,0.9526175856590271,41.8
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.1,20,0.09955297595387963,0.07272855816970729,0.919228458404541,35.75
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.2,20,0.014533849024144507,0.014438293362932876,0.8452647686004638,30.65
share-gine2-msgm-ed32-nl2,bn1000,0.0,0.25,20,0.012694830736023613,0.009289946061660075,0.8630998849868774,32.85
