model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.0,20,0.34410008467354275,0.35239024235646915,1.350249421596527,42.95
share-gine2-msgm-ed256-nl2,bn1000,0.05,0.0,20,0.13567398867744176,0.09885281345769456,1.3089632987976074,39.75
share-gine2-msgm-ed256-nl2,bn1000,0.1,0.0,20,0.047391259583681664,0.038343158231179154,1.3511104226112365,40.65
share-gine2-msgm-ed256-nl2,bn1000,0.2,0.0,20,0.013454938116750364,0.00954070299447125,1.1837790131568908,32.05
share-gine2-msgm-ed256-nl2,bn1000,0.25,0.0,20,0.007897347056862184,0.005469290175526156,1.302610194683075,33.9
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.0,20,0.5176654253874714,0.3579336309529077,1.7656153798103333,58.75
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.05,20,0.20378595310811648,0.11757417421833166,1.4695937395095826,45.4
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.1,20,0.056337320221448606,0.05403536239847678,1.43760906457901,43.6
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.2,20,0.014030181601425745,0.010524716894569824,1.2033190965652465,35.9
share-gine2-msgm-ed256-nl2,bn1000,0.0,0.25,20,0.010700534170162932,0.00733492979709203,0.9883444666862488,26.5
