model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.0,20,0.9470863702962964,0.030390627005765874,2.496518850326538,61.5
share-gine2-msgm-ed32-nl4,bn1000,0.05,0.0,20,0.38821374274321135,0.11487414461907927,1.4618611216545105,35.5
share-gine2-msgm-ed32-nl4,bn1000,0.1,0.0,20,0.11308866711638428,0.046457337595528725,0.9707901477813721,27.2
share-gine2-msgm-ed32-nl4,bn1000,0.2,0.0,20,0.03326440082751626,0.012525665765901115,1.1479795217514037,34.95
share-gine2-msgm-ed32-nl4,bn1000,0.25,0.0,20,0.023892567998650013,0.010828640727761369,0.9878368020057678,27.4
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.0,20,0.9171902288970367,0.10667787172192152,2.1573100209236147,88.4
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.05,20,0.3872003621952945,0.13401715128213426,1.0898058414459229,31.2
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.1,20,0.20383199319601158,0.07650908467332078,1.2002505660057068,38.0
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.2,20,0.050287300555511096,0.016747542638162097,0.9964058518409729,26.2
share-gine2-msgm-ed32-nl4,bn1000,0.0,0.25,20,0.02429404600730866,0.015392654317754556,0.9749286532402038,25.4
