model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
share-gine2-sgm,edi3,0.0,0.0,5,1.0,0.0,4.929605722427368,78.0
share-gine2-sgm,edi3,0.05,0.0,5,0.6904761904761905,0.2298574930694699,5.18096137046814,85.2
share-gine2-sgm,edi3,0.1,0.0,5,0.2285714285714286,0.2138089935299395,5.99040412902832,95.0
share-gine2-sgm,edi3,0.2,0.0,5,0.17619047619047618,0.10168645954315535,4.723632097244263,56.4
share-gine2-sgm,edi3,0.25,0.0,5,0.11428571428571428,0.06801360408136047,5.419683170318604,66.0
share-gine2-sgm,edi3,0.0,0.0,5,1.0,0.0,5.779055261611939,73.6
share-gine2-sgm,edi3,0.0,0.05,5,0.4142857142857143,0.27709212430430774,5.77188515663147,62.4
share-gine2-sgm,edi3,0.0,0.1,5,0.47619047619047616,0.2455961325376691,6.227378463745117,73.8
share-gine2-sgm,edi3,0.0,0.2,5,0.11904761904761904,0.10323563518418477,5.086196947097778,85.8
share-gine2-sgm,edi3,0.0,0.25,5,0.17142857142857143,0.11308897225750397,4.2194794654846195,57.6
