model,data,size,train_ratio,p_add,p_rm,avg_acc,std_acc,avg_conf_score,std_conf_score,avg_time,avg_best_epoch
pale_h1-euclidean,ad1,3,0.1,0.05,0.0,0.6785714285714285,0.010593996634288947,7.770873387829461e-05,4.862733518042625e-06,78.5280408859253,-1.0
pale_h1-euclidean,ad1,3,0.2,0.05,0.0,0.8328716528162512,0.0032645742437052267,9.555854937522855e-05,7.597495795051207e-06,73.05128002166748,-1.0
pale_h1-euclidean,ad1,3,0.3,0.05,0.0,0.8802742616033754,0.007115367913097059,0.00010132206012257385,1.3183881141336412e-07,77.52134577433269,-1.0
pale_h1-euclidean,ad1,3,0.4,0.05,0.0,0.9145141451414514,0.014785750652117239,0.00010300230651134343,1.994747538269756e-06,77.32157158851624,-1.0
pale_h1-euclidean,ad1,3,0.5,0.05,0.0,0.9356984478935698,0.017270246039243063,0.00011181239392684121,1.4894648455709844e-06,84.01530130704244,-1.0
pale_h1-euclidean,ad1,3,0.6,0.05,0.0,0.9510618651892889,0.005691979688798673,0.00012063788098998295,8.066960387267096e-07,81.20045828819275,-1.0
pale_h1-euclidean,ad1,3,0.7,0.05,0.0,0.959409594095941,0.005218500230159004,0.0001286890165686211,8.710150447239032e-07,81.28701798121135,-1.0
pale_h1-euclidean,ad1,3,0.8,0.05,0.0,0.990791896869245,0.002604444866248787,0.00013376206021235553,2.4087218626948718e-06,81.14069509506226,-1.0
pale_h1-euclidean,ad1,3,0.9,0.05,0.0,0.9816849816849818,0.025901347296210544,0.00013489232874211787,3.485805424179058e-06,84.71398758888245,-1.0
