model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp0-se_lr0.001,edi3,0.0,0,3,0.9716312056737589,0.020059766842171537,15.341550270716349,-1.0
pale-mlp0-se_lr0.001,edi3,0.05,0,3,0.9361702127659575,0.017372267679313345,13.720497051874796,-1.0
pale-mlp0-se_lr0.001,edi3,0.1,0,3,0.8865248226950354,0.03616325896165096,13.898439963658651,-1.0
pale-mlp0-se_lr0.001,edi3,0.2,0,3,0.7801418439716312,0.0437192482480069,13.262695948282877,-1.0
pale-mlp0-se_lr0.001,edi3,0.25,0,3,0.75177304964539,0.026536577211162704,16.195645252863567,-1.0
pale-mlp0-se_lr0.001,edi3,0,0.0,3,0.9574468085106383,0.03474453535862664,15.04075837135315,-1.0
pale-mlp0-se_lr0.001,edi3,0,0.05,3,0.9432624113475178,0.02005976684217159,18.669844071070354,-1.0
pale-mlp0-se_lr0.001,edi3,0,0.1,3,0.8723404255319149,0.06263660188885002,17.474184433619182,-1.0
pale-mlp0-se_lr0.001,edi3,0,0.2,3,0.7588652482269502,0.010029883421085795,15.585861841837565,-1.0
pale-mlp0-se_lr0.001,edi3,0,0.25,3,0.7375886524822696,0.04011953368434313,13.678147157033285,-1.0
