model,data,p_add,p_rm,dataset_size,avg_acc,std_dev,avg_time,avg_best_epoch
pale-mlp1-de_lr0.01,edi3,0.0,0,3,0.1347517730496454,0.026536577211162704,11.846161842346191,-1.0
pale-mlp1-de_lr0.01,edi3,0.05,0,3,0.09929078014184396,0.026536577211162704,11.794118881225586,-1.0
pale-mlp1-de_lr0.01,edi3,0.1,0,3,0.09929078014184396,0.061009399057039906,11.96586283047994,-1.0
pale-mlp1-de_lr0.01,edi3,0.2,0,3,0.028368794326241134,0.02005976684217156,11.984764099121094,-1.0
pale-mlp1-de_lr0.01,edi3,0.25,0,3,0.05673758865248226,0.010029883421085779,14.475753227869669,-1.0
pale-mlp1-de_lr0.01,edi3,0,0.0,3,0.12056737588652482,0.026536577211162704,11.826476653416952,-1.0
pale-mlp1-de_lr0.01,edi3,0,0.05,3,0.0851063829787234,0.03008965026325734,11.67242177327474,-1.0
pale-mlp1-de_lr0.01,edi3,0,0.1,3,0.07801418439716312,0.026536577211162708,11.530349095662435,-1.0
pale-mlp1-de_lr0.01,edi3,0,0.2,3,0.0425531914893617,0.0,11.699804703394571,-1.0
pale-mlp1-de_lr0.01,edi3,0,0.25,3,0.07801418439716311,0.05307315442232541,11.514344612757364,-1.0
