model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar_gcn_linear,edi3,0.0,0.0,10,0.12978723404255318,0.08265074297682992,10.088095545768738
ar_gcn_linear,edi3,0.0,0.05,10,0.09574468085106383,0.06257634540362869,9.929262924194337
ar_gcn_linear,edi3,0.0,0.1,10,0.05957446808510638,0.022915594923976615,9.983374547958373
ar_gcn_linear,edi3,0.0,0.2,10,0.05106382978723404,0.023692614309914983,10.034502530097962
ar_gcn_linear,edi3,0.0,0.25,10,0.04680851063829787,0.04543437554055877,9.824863386154174
ar_gcn_linear,edi3,0.05,0.0,10,0.07659574468085106,0.049625122509321704,10.119704604148865
ar_gcn_linear,edi3,0.05,0.05,10,0.08297872340425531,0.04508429808599381,10.001806116104126
ar_gcn_linear,edi3,0.05,0.1,10,0.07872340425531915,0.03812015503652961,10.09134383201599
ar_gcn_linear,edi3,0.05,0.2,10,0.04468085106382978,0.024165567428937332,10.058870887756347
ar_gcn_linear,edi3,0.05,0.25,10,0.04468085106382978,0.030759217648512683,9.969348335266114
ar_gcn_linear,edi3,0.1,0.0,10,0.06595744680851064,0.04196400621982131,10.26434805393219
ar_gcn_linear,edi3,0.1,0.05,10,0.06170212765957447,0.05665330619444403,10.121500658988953
ar_gcn_linear,edi3,0.1,0.1,10,0.06382978723404255,0.040369502044702715,10.102428364753724
ar_gcn_linear,edi3,0.1,0.2,10,0.04468085106382978,0.025971394927092984,9.931407976150513
ar_gcn_linear,edi3,0.1,0.25,10,0.031914893617021274,0.025620413997430418,10.043811416625976
ar_gcn_linear,edi3,0.2,0.0,10,0.055319148936170216,0.030389057142735532,10.452294397354127
ar_gcn_linear,edi3,0.2,0.05,10,0.0553191489361702,0.03709701228545254,10.244596219062805
ar_gcn_linear,edi3,0.2,0.1,10,0.05106382978723404,0.021697955376990572,10.256829071044923
ar_gcn_linear,edi3,0.2,0.2,10,0.04893617021276595,0.021382714087491258,10.15827543735504
ar_gcn_linear,edi3,0.2,0.25,10,0.04468085106382978,0.024165567428937332,10.16367747783661
ar_gcn_linear,edi3,0.25,0.0,10,0.07659574468085105,0.04169344243035196,10.384300255775452
ar_gcn_linear,edi3,0.25,0.05,10,0.05106382978723404,0.03457037618994026,10.31064944267273
ar_gcn_linear,edi3,0.25,0.1,10,0.05744680851063829,0.046663217445662354,10.204465413093567
ar_gcn_linear,edi3,0.25,0.2,10,0.053191489361702114,0.02378795720744457,10.152560830116272
ar_gcn_linear,edi3,0.25,0.25,10,0.021276595744680847,0.019030365765955657,10.013511657714844
