model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar_gcn_linear,edi3,0.0,0.0,10,0.4382978723404255,0.06674207294194945,6.996398138999939
ar_gcn_linear,edi3,0.0,0.05,10,0.12127659574468083,0.030164780593101754,6.836880445480347
ar_gcn_linear,edi3,0.0,0.1,10,0.055319148936170216,0.023692614309914987,6.904105544090271
ar_gcn_linear,edi3,0.0,0.2,10,0.04680851063829787,0.029787234042553193,6.842339301109314
ar_gcn_linear,edi3,0.0,0.25,10,0.04042553191489361,0.020072300280971497,6.613430333137512
ar_gcn_linear,edi3,0.05,0.0,10,0.09574468085106383,0.04174769546882677,6.4127521276473995
ar_gcn_linear,edi3,0.05,0.05,10,0.0851063829787234,0.02127659574468085,6.269382524490356
ar_gcn_linear,edi3,0.05,0.1,10,0.0702127659574468,0.021382714087491258,6.257855820655823
ar_gcn_linear,edi3,0.05,0.2,10,0.06382978723404255,0.02517480758765794,6.19318962097168
ar_gcn_linear,edi3,0.05,0.25,10,0.042553191489361694,0.02330734287256026,6.162431597709656
ar_gcn_linear,edi3,0.1,0.0,10,0.05957446808510638,0.03127008182276397,7.255452418327332
ar_gcn_linear,edi3,0.1,0.05,10,0.07234042553191487,0.028860978651596883,6.315777158737182
ar_gcn_linear,edi3,0.1,0.1,10,0.05744680851063829,0.02526455763199557,5.500129127502442
ar_gcn_linear,edi3,0.1,0.2,10,0.03191489361702128,0.02378795720744457,4.749413108825683
ar_gcn_linear,edi3,0.1,0.25,10,0.042553191489361694,0.02330734287256026,6.980980968475341
ar_gcn_linear,edi3,0.2,0.0,10,0.06595744680851064,0.037400842194142435,6.997085380554199
ar_gcn_linear,edi3,0.2,0.05,10,0.04680851063829787,0.031270081822763966,6.97405219078064
ar_gcn_linear,edi3,0.2,0.1,10,0.04893617021276596,0.03162993350493299,6.941710472106934
ar_gcn_linear,edi3,0.2,0.2,10,0.03829787234042553,0.018548506142726268,6.671122360229492
ar_gcn_linear,edi3,0.2,0.25,10,0.04042553191489361,0.02925048315929259,6.1467125415802
ar_gcn_linear,edi3,0.25,0.0,10,0.055319148936170216,0.03709701228545254,6.380187559127807
ar_gcn_linear,edi3,0.25,0.05,10,0.04468085106382978,0.020072300280971497,6.274723315238953
ar_gcn_linear,edi3,0.25,0.1,10,0.04042553191489361,0.027659574468085105,6.3047960042953495
ar_gcn_linear,edi3,0.25,0.2,10,0.04893617021276596,0.026996973490318127,6.260680723190307
ar_gcn_linear,edi3,0.25,0.25,10,0.040425531914893606,0.027659574468085108,6.151029825210571
