model,data,p_add,p_rm,num_tests,avg_acc,std_dev,avg_time
ar_gine_linear,edi3,0.0,0.0,10,0.2702127659574468,0.2127765954787367,1.3782801628112793
ar_gine_linear,edi3,0.0,0.05,10,0.18723404255319148,0.10015831741225377,1.3900585889816284
ar_gine_linear,edi3,0.0,0.1,10,0.14255319148936169,0.07674335658243163,1.6336577177047729
ar_gine_linear,edi3,0.0,0.2,10,0.10851063829787233,0.07212106917735443,1.3457874059677124
ar_gine_linear,edi3,0.0,0.25,10,0.05319148936170213,0.034635788502339795,1.4740827083587646
ar_gine_linear,edi3,0.05,0.0,10,0.1829787234042553,0.11738820616284018,1.4512488842010498
ar_gine_linear,edi3,0.05,0.05,10,0.11489361702127661,0.053993946980636254,1.5466886281967163
ar_gine_linear,edi3,0.05,0.1,10,0.07446808510638298,0.04064887909477191,1.5105583190917968
ar_gine_linear,edi3,0.05,0.2,10,0.07021276595744681,0.03812015503652961,1.5423896789550782
ar_gine_linear,edi3,0.05,0.25,10,0.0425531914893617,0.036852144841891005,1.650505781173706
ar_gine_linear,edi3,0.1,0.0,10,0.06808510638297872,0.03404255319148936,1.3226288080215454
ar_gine_linear,edi3,0.1,0.05,10,0.10212765957446808,0.07540444743263554,1.4221123933792115
ar_gine_linear,edi3,0.1,0.1,10,0.07446808510638298,0.05807380452747311,1.4426284074783324
ar_gine_linear,edi3,0.1,0.2,10,0.07659574468085104,0.03585595648160153,1.7574163675308228
ar_gine_linear,edi3,0.1,0.25,10,0.05957446808510638,0.04014460056194299,1.6327561378479003
ar_gine_linear,edi3,0.2,0.0,10,0.08723404255319149,0.0460774634632079,1.788273072242737
ar_gine_linear,edi3,0.2,0.05,10,0.06595744680851065,0.038592249249397984,1.8610227584838868
ar_gine_linear,edi3,0.2,0.1,10,0.08085106382978723,0.037822103903470586,1.8877434968948363
ar_gine_linear,edi3,0.2,0.2,10,0.0553191489361702,0.03038905714273553,1.4657253265380858
ar_gine_linear,edi3,0.2,0.25,10,0.038297872340425525,0.018548506142726268,1.6240686893463134
ar_gine_linear,edi3,0.25,0.0,10,0.07446808510638298,0.033303140090422394,0.9688622236251831
ar_gine_linear,edi3,0.25,0.05,10,0.04680851063829787,0.047385228619829974,0.9238622903823852
ar_gine_linear,edi3,0.25,0.1,10,0.04680851063829787,0.03534733558688542,1.081390929222107
ar_gine_linear,edi3,0.25,0.2,10,0.05744680851063829,0.030164780593101757,0.9923422813415528
ar_gine_linear,edi3,0.25,0.25,10,0.05106382978723404,0.0332351050038581,1.4140811681747436
