model,data,p_add,p_rm,num_tests,avg_acc,std_dev
MAGNA,edi3,0.0,0.0,5,0.11482963934099381,0.016750694727291442
MAGNA,edi3,0.0,0.05,5,0.11905884966462091,0.024152180041572057
