1 42
4_5_28_38_46 71
9_45_55_59_62 67
11 11
16_25_49 80
20 4_5_28_38_46
22_39_58 75
24 21_26_51_60
31 31
7_32 16_25_49
37 29_36_52_63
47 88
82 1
91 18
3_6_14_48 41
8_44 85
10_27 10_27
18 35
33 78
35 70_79_83
29_36_52_63 90
56 66
65 65
77 24
84 56
40 76
53 9_45_55_59_62
61 2_12_19
64 47
71 72_81
23_69_73 61
21_26_51_60 37
34 82
41 84
67 50
68_86 74
85 68_86
2_12_19 77
78 22_39_58
50 54
66 8_44
88 20
89 89
72_81 33
74 40
42 23_69_73
13_43 15_57
17 17
15_57 87
30 3_6_14_48
54 53
76 30
80 7_32
90 34
87 91
75 13_43
70_79_83 64
