1 47
4_5_28_38_46 4_5_28_38_46
9_45_55_59_62 7_32
11 53
16_25_49 16_25_49
20 77
22_39_58 31
24 84
31 15_57
7_32 2_12_19
37 88
47 78
82 1
91 8_44
3_6_14_48 42
8_44 24
10_27 10_27
18 33
33 29_36_52_63
35 89
29_36_52_63 41
56 67
65 34
77 80
84 56
40 37
53 64
61 40
64 68_86
71 23_69_73
23_69_73 20
21_26_51_60 50
34 3_6_14_48
41 66
67 13_43
68_86 9_45_55_59_62
85 90
2_12_19 75
78 11
50 54
66 18
88 76
89 61
72_81 72_81
74 91
42 65
13_43 71
17 74
15_57 22_39_58
30 82
54 85
76 17
80 21_26_51_60
90 70_79_83
87 35
75 30
70_79_83 87
