1 76
4_5_28_38_46 4_5_28_38_46
9_45_55_59_62 9_45_55_59_62
11 53
16_25_49 16_25_49
20 20
22_39_58 78
24 24
31 3_6_14_48
7_32 11
37 37
47 1
82 72_81
91 91
3_6_14_48 87
8_44 71
10_27 10_27
18 67
33 33
35 88
29_36_52_63 29_36_52_63
56 56
65 70_79_83
77 34
84 85
40 40
53 54
61 61
64 64
71 22_39_58
23_69_73 84
21_26_51_60 21_26_51_60
34 50
41 41
67 8_44
68_86 68_86
85 31
2_12_19 2_12_19
78 7_32
50 18
66 66
88 47
89 89
72_81 82
74 74
42 42
13_43 13_43
17 17
15_57 65
30 30
54 23_69_73
76 35
80 80
90 77
87 15_57
75 75
70_79_83 90
